Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
37.260000,0.00000,WPMR229,Spring Hill,Utilities,SpgHillUtils,,FM,BM,Utilities
45.160000,0.00000,KYU860,Columbia,Parks  Recreation,ColmbaPrks16,,FM,BM,Public Works
45.360000,0.00000,KYU860,Columbia,Parks  Recreation,ColmbaPrks36,,FM,BM,Public Works
147.120000,0.00000,W4GGM,Maury Amateur Radio Club,2 Meter Repeater,W4GGM 2M,127.3 PL,FM,RM,Ham
147.285000,147.88500,AG4TI,Maury Amateur Radio Club,Culleoka Repeater,AG4TI,131.8 PL,FM,RM,Ham
151.002500,156.14250,WQHX807,Maury County,Highway Department,MCDOT,,FMN,RM,Public Works
151.400000,156.19500,WQOX539,Maury County,Sheriff VHF Operations Digital,MCSO-VHF D,,NXDN,RM,Law Tac
152.270000,0.00000,WQBU852,Maury County,Moore Care Ambulance Services Non Emergency Transport,MCA-NET,,FMN,RM,Business
153.000000,0.00000,,Maury County,Life Flight Dispatch VHF,LIFEFLIGHT V,032 DPL,FMN,BM,EMS Dispatch
154.175000,153.77000,KNES990,Spring Hill,Fire Department,SpgHillFD,192.8 PL,FMN,RM,Fire Dispatch
154.220000,0.00000,WNZB214,Maury County,Maury Regional EMS  Dispatch,MCEMS DISP,125 DPL,FMN,BM,EMS Dispatch
155.625000,0.00000,,Maury County,Emergency Management  County Fire Dispatch,MCEMA-FIRE,107.2 PL,FMN,RM,Fire Dispatch
159.180000,0.00000,WNRZ359,Maury County,Road Salt Trucks  Dispatch Ch 1,SALT TRUCKS,315 DPL,FMN,BM,Public Works
443.175000,0.00000,W4GGM,Maury Amateur Radio Club,70 Centimeter Repeater,W4GGM 70CM,100.0 PL,FM,RM,Ham
443.425000,0.00000,AG4TI,Maury Amateur Radio Club,Culleoka,AG4TI 443,91.5 PL,FM,RM,Ham
451.025000,0.00000,,Spring Hill,Public Works  Police Department CartoCar 15,SpgHillPWks,,FM,,Public Works
451.075000,456.07500,KIF409,Columbia,Power and Water Systems  Power Central,CPWS-POWER C,CC 11|TG 1042|SL 1,DMR,RM,Utilities
451.075000,456.07500,KIF409,Columbia,Power and Water Systems  Broadband Central,CPWS-BROADBAND C,CC 11|TG 1142|SL 2,DMR,RM,Utilities
451.225000,0.00000,WPRL917,Maury County,Life Flight Dispatch UHF,LIFEFLIGHT U,94.8 PL,FMN,RM,EMS Dispatch
451.550000,0.00000, ,  General Motors USA,Site 017 Spring Hill Manufacturing,,,DMR,,TRS
451.550000,0.00000, ,  Duck River Electric Membership Corporation,Site 001 Columbia,,,Project 25,,TRS
451.625000,456.62500,WPTH772,Spring Hill,Water Department,SpgHill WTR,,FMN,RM,Utilities
451.700000,0.00000, ,  General Motors USA,Site 017 Spring Hill Manufacturing,,,DMR,,TRS
451.725000,456.72500,KIF409,Columbia,Power and Water Systems  Admin Central,CPWS-ADMIN C,CC 15|TG 1342|SL 2,DMR,RM,Utilities
451.725000,456.72500,KIF409,Columbia,Power and Water Systems  Water Central,CPWS-WATER C,CC 15|TG 1242|SL 1,DMR,RM,Utilities
451.950000,0.00000, ,  General Motors USA,Site 017 Spring Hill Manufacturing,,,DMR,,TRS
452.212500,0.00000, ,  General Motors USA,Site 017 Spring Hill Manufacturing,,,DMR,,TRS
452.325000,0.00000, ,  General Motors USA,Site 017 Spring Hill Manufacturing,,,DMR,,TRS
452.500000,457.50000,KIF409,Columbia,Power and Water Systems  Power South,CPWS-POWER S,CC 12|TG 1042|SL 1,DMR,RM,Utilities
452.500000,457.00000,KIF409,Columbia,Power and Water Systems  Broadband South,CPWS-BROADBAND S,CC 12|TG 1142|SL 2,DMR,RM,Utilities
452.625000,0.00000, ,  General Motors USA,Site 017 Spring Hill Manufacturing,,,DMR,,TRS
452.700000,0.00000, ,  Duck River Electric Membership Corporation,Site 001 Columbia,,,Project 25,,TRS
452.725000,457.72500,KIF409,Columbia,Power and Water Systems  Broadband East,CPWS-BROADBAND E,CC 15|TG 1142|SL 2,DMR,RM,Utilities
452.725000,457.72500,KIF409,Columbia,Power and Water Systems  Power East,CPWS-POWER E,CC 15|TG 1042|SL 1,DMR,RM,Utilities
