Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,140.125000,,0.000000,Tone,254.1,88.5,023,NN,FM,5.00,,,,,,
2,,145.225000,,0.000000,TSQL,88.5,88.5,023,NN,FM,5.00,,,,,,
3,,150.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,,440.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,,445.225000,+,17.487500,Tone,79.7,88.5,023,NN,FM,5.00,,,,,,
6,,450.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,,158.805000,,0.000000,Cross,88.5,110.9,023,NN,FM,5.00,,,,,,
41,CH 1 1,462.562500,,0.000000,TSQL,67.0,67.0,023,NN,FM,5.00,,,,,,
42,CH 1 2,462.562500,,0.000000,TSQL,71.9,71.9,023,NN,FM,5.00,S,,,,,
43,CH 1 3,462.562500,,0.000000,TSQL,74.4,74.4,023,NN,FM,5.00,S,,,,,
44,CH 1 4,462.562500,,0.000000,TSQL,77.0,77.0,023,NN,FM,5.00,S,,,,,
45,CH 1 5,462.562500,,0.000000,TSQL,79.7,79.7,023,NN,FM,5.00,S,,,,,
46,CH 1 6,462.562500,,0.000000,TSQL,82.5,82.5,023,NN,FM,5.00,S,,,,,
47,CH 1 7,462.562500,,0.000000,TSQL,85.4,85.4,023,NN,FM,5.00,S,,,,,
48,CH 1 8,462.562500,,0.000000,TSQL,88.5,88.5,023,NN,FM,5.00,S,,,,,
49,CH 1 9,462.562500,,0.000000,TSQL,91.5,91.5,023,NN,FM,5.00,S,,,,,
50,CH 1 10,462.562500,,0.000000,TSQL,94.8,94.8,023,NN,FM,5.00,S,,,,,
51,CH 1 11,462.562500,,0.000000,TSQL,97.4,97.4,023,NN,FM,5.00,S,,,,,
52,CH 1 12,462.562500,,0.000000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
53,CH 1 13,462.562500,,0.000000,TSQL,103.5,103.5,023,NN,FM,5.00,S,,,,,
54,CH 1 14,462.562500,,0.000000,TSQL,107.2,107.2,023,NN,FM,5.00,S,,,,,
55,CH 1 15,462.562500,,0.000000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
56,CH 1 16,462.562500,,0.000000,TSQL,114.8,114.8,023,NN,FM,5.00,S,,,,,
57,CH 1 17,462.562500,,0.000000,TSQL,118.8,118.8,023,NN,FM,5.00,S,,,,,
58,CH 1 18,462.562500,,0.000000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,,
59,CH 1 19,462.562500,,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,S,,,,,
