Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
2,MQY Ap/Dep,118.400000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
3,MQY Tower,118.500000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
4,MQY ASOS,119.125000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
5,MQY Gnd Ctrl,121.400000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
6,MQY Clnc Del,121.700000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
7,MQY Unicom,122.950000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
8,MBT Unicom,123.075000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
9,MBT Ap/Dep,128.450000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
10,MBT AWOS,133.975000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
11,MBT GCO,135.075000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
12,SkywarnW4CAT,145.230000,,0.000000,TSQL,114.8,114.8,0,NN,FM,5.00,,,,,,
13,MED/FIRE  CONF A,151.040000,,0.000000,TSQL,136.5,136.5,0,NN,FM,5.00,,,,,,
14,StonesRvMall,152.397500,,0.000000,DTCS,136.5,136.5,306,NN,FM,5.00,,,,,,
15,SRCAA,154.100000,,0.000000,TSQL,151.4,151.4,0,NN,FM,5.00,,,,,,
16,LVFD BU 2,154.340000,,0.000000,TSQL,192.8,192.8,0,NN,FM,5.00,,,,,,
17,MW-S OP1,154.490000,,0.000000,DTCS,192.8,192.8,071,NN,FM,5.00,,,,,,
18,Walmart MB,154.570000,,0.000000,DTCS,192.8,192.8,131,NN,FM,5.00,,,,,,
19,Walmart OF,154.600000,,0.000000,TSQL,77.0,77.0,0,NN,FM,5.00,,,,,,
20,VTNMA LOCAL,154.755000,,0.000000,DTCS,77.0,77.0,051,NN,FM,5.00,,,,,,
21,VTNMA STATE,154.755000,,0.000000,TSQL,100.0,100.0,0,NN,FM,5.00,,,,,,
22,MFD MAIN,154.980000,,0.000000,TSQL,123.0,123.0,0,NN,FM,5.00,,,,,,
23,MED/FIRE OPS B,155.085000,,0.000000,TSQL,146.2,146.2,0,NN,FM,5.00,,,,,,
24,LVFD BU 1,155.160000,,0.000000,TSQL,136.5,136.5,0,NN,FM,5.00,,,,,,
25,MED/FIRE OPS C,155.550000,,0.000000,TSQL,136.5,136.5,0,NN,FM,5.00,,,,,,
26,MED/FIRE  EVENTS,155.880000,,0.000000,DTCS,136.5,136.5,054,NN,FM,5.00,,,,,,
27,MED/FIRE OPS A,158.745000,,0.000000,TSQL,136.5,136.5,0,NN,FM,5.00,,,,,,
28,MED/FIRE MAIN A,158.805000,,0.000000,TSQL,110.9,110.9,0,NN,FM,5.00,,,,,,
29,MFD STNDBY,159.210000,,0.000000,DTCS,110.9,110.9,051,NN,FM,5.00,,,,,,
30,MW-S OP2,159.795000,,0.000000,DTCS,110.9,110.9,054,NN,FM,5.00,,,,,,
31,MQY Tower,233.100000,off,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
32,Schools 1,452.137500,,0.000000,DTCS,88.5,88.5,346,NN,FM,5.00,,,,,,
33,Smyrna Fire,452.150000,,0.000000,TSQL,131.8,131.8,0,NN,FM,5.00,,,,,,
34,Schools 2,452.637500,,0.000000,DTCS,131.8,131.8,454,NN,FM,5.00,,,,,,
35,MPD ADMIN,452.875000,,0.000000,TSQL,114.8,114.8,0,NN,FM,5.00,,,,,,
36,Workhouse,453.162500,,0.000000,DTCS,114.8,114.8,023,NN,FM,5.00,,,,,,
37,MPD DISP WEST,453.325000,,0.000000,TSQL,141.3,141.3,0,NN,FM,5.00,,,,,,
38,MSTREETS,453.400000,,0.000000,TSQL,71.9,71.9,0,NN,FM,5.00,,,,,,
39,SO OPS 2,453.750000,,0.000000,TSQL,146.2,146.2,0,NN,FM,5.00,,,,,,
40,SO OPS 1,453.837500,,0.000000,TSQL,118.8,118.8,0,NN,FM,5.00,,,,,,
41,SO CAR to CAR,458.900000,,0.000000,TSQL,131.8,131.8,0,NN,FM,5.00,,,,,,
42,LVPD BACKUP,460.050000,,0.000000,TSQL,131.8,131.8,0,NN,FM,5.00,,,,,,
